city,country,licence_required,nights_limit,tax_amount_eur,tax_type,min_eur,max_eur,tax_percent,state_percent,city_percent,flat_usd,official_source_url,last_checked
Barcelona,ES,true,0,4.00,fixed,,,,,,,https://ajuntament.barcelona.cat/...,2025-08-23
New York,US,true,0,0.00,composite,,,4,5.875,2,https://www.nyc.gov/...,2025-07-29,
Lisboa,PT,true,0,2.00,fixed,,,,,,,https://cm-lisboa.pt/...,2025-08-23
Amsterdam,NL,true,30,0.00,percent,,,12.5,,,,https://www.amsterdam.nl/...,2025-07-29
Tokyo,JP,true,0,0.00,range,0.60,1.20,,,,,https://www.mlit.go.jp/...,2025-07-29
Paris,FR,true,120,0.00,range,0.65,15.60,,,,,https://paris.fr/,2025-07-29
Berlin,DE,true,90,0.00,percent,,,7.5,,,,https://berlin.de/,2025-07-29
Palma de Mallorca,ES,true,0,0.00,range,1,4,,,,,https://ajpalma.cat/,2025-07-29
Vancouver,CA,true,30,0.00,percent,,,16,,,,https://vancouver.ca/,2025-07-29
Sydney,AU,true,180,0.00,none,,,,,,,https://nsw.gov.au/,2025-07-29
